readmission_reduction_id,provider_id,measure_name,number_of_discharges,footnote,excess_readmission_ratio,predicted_readmission_rate,expected_readmission_rate,number_of_readmissions,start_date,end_date
J10018,9002,READM-30-PN-HRRP,465,,0.9796,17.9,18.3,82,7/1/09,6/30/12
J10019,100001,READM-30-AMI-HRRP,39,,1.0206,23,22.5,0,7/1/09,6/30/12
J1002,100002,READM-30-AMI-HRRP,163,,0.8629,14.6,16.9,17,7/1/09,6/30/12
J10020,100006,READM-30-HF-HRRP,189,,1.2246,26.8,21.8,62,7/1/09,6/30/12
J10021,100007,READM-30-PN-HRRP,249,,1.1417,19.8,17.4,57,7/1/09,6/30/12
J10022,100008,READM-30-AMI-HRRP,46,,1.0091,20.8,20.6,0,7/1/09,6/30/12
J10023,100009,READM-30-HF-HRRP,266,,1.0573,24.8,23.4,69,7/1/09,6/30/12
J10024,10001,READM-30-PN-HRRP,148,,1.0164,17,16.7,26,7/1/09,6/30/12
J10025,100012,READM-30-AMI-HRRP,771,,1.1826,19.9,16.8,161,7/1/09,6/30/12
J10026,100014,READM-30-HF-HRRP,1497,,0.9561,20.9,21.8,310,7/1/09,6/30/12
J10027,100017,READM-30-PN-HRRP,807,,1.069,17.9,16.7,148,7/1/09,6/30/12
J10028,100018,READM-30-AMI-HRRP,488,,1.1131,19.4,17.5,100,7/1/09,6/30/12
J10029,100019,READM-30-HF-HRRP,1039,,1.0863,24.6,22.6,260,7/1/09,6/30/12
J1003,100022,READM-30-HF-HRRP,362,,0.9597,22.2,23.1,78,7/1/09,6/30/12
J10030,100023,READM-30-PN-HRRP,746,,1.0446,18,17.3,137,7/1/09,6/30/12
J10031,100025,READM-30-AMI-HRRP,57,,1.0032,17.3,17.2,0,7/1/09,6/30/12
J10032,100026,READM-30-HF-HRRP,307,,1.1175,25.6,22.9,85,7/1/09,6/30/12
J10033,100028,READM-30-HF-HRRP,173,,1.0786,24.2,22.4,46,7/1/09,6/30/12
J10034,100029,READM-30-PN-HRRP,208,,1.0016,17.3,17.2,36,7/1/09,6/30/12
J10035,100030,READM-30-AMI-HRRP,0,1,0,0,0,0,7/1/09,6/30/12
J10036,100032,READM-30-HF-HRRP,35,,0.9638,19.9,20.7,0,7/1/09,6/30/12
J10037,100034,READM-30-PN-HRRP,76,,0.9623,17.3,18,11,7/1/09,6/30/12
